province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Ranong,51,2012,13,183248,12.32962279,27958.35923,27761.35923,14.32158575,21811.76217,95.19833935,130.3716265,16.95189087
Ratchaburi,52,2012,63,844658,56.8318046,21323.6972,21126.6972,18.49904318,15781.91724,394.6397485,573.2881028,70.842804
Rayong,53,2012,79,643506,43.29753255,25520.88011,25323.88011,2.766350617,20401.39183,328.7043488,1073.206966,48.74777866
Roi Et,54,2012,43,1306814,87.92741903,20461.54215,20264.54215,9.922226998,16051.71554,339.7623499,369.5988953,29.2791252
Sa Kaeo,55,2012,35,546969,36.80215582,20908.57763,20711.57763,16.89276551,17649.34663,206.6387007,353.740446,27.04985019
Sakon Nakhon,56,2012,51,1126263,75.77926066,16321.18078,16124.18078,25.6278298,12232.53323,211.0463013,290.7055913,28.13130301
Samut Prakan,57,2012,50,1213262,81.63288445,26051.49753,25854.49753,1.361813019,23389.49375,471.4794575,1477.569249,109.7226007
Samut Sakhon,58,2012,15,503956,33.90807749,22550.72283,22353.72283,4.130195621,18633.41079,218.7849724,488.5721436,47.45624059
Samut Songkhram,59,2012,9,194064,13.05736443,15904.18523,15707.18523,4.457617529,16575.618,75.10141476,139.9909988,17.00510525
Saraburi,60,2012,42,623071,41.92258799,29397.11257,29200.11257,6.320579403,21000.48388,298.2679112,888.7861614,40.07093143
Satun,61,2012,17,303674,20.43234236,22864.43046,22667.43046,6.860850705,20152.16184,143.082414,221.2457583,39.83045373
Si Sa Ket,62,2012,82,1455287,97.91724748,15234.25288,15037.25288,25.363578,12595.49795,342.8993902,364.7362864,35.87120978
Sing Buri,63,2012,25,213402,14.35849867,26948.59426,26751.59426,7.410281228,21158.47706,130.6989184,230.3834691,11.20316242
Songkhla,64,2012,77,1372792,92.36666995,27021.09507,26824.09507,4.026535753,21163.29183,671.7148562,1772.943402,205.7841212
Sukhothai,65,2012,43,602053,40.50841696,20609.31611,20412.31611,12.71288327,14158.79093,167.5463444,207.7412245,26.72660878
Suphan Buri,66,2012,69,846181,56.93427784,16558.50796,16361.50796,19.13759084,12641.81956,318.2239552,654.61896,53.70182055
Surat Thani,67,2012,79,1017676,68.47311407,35590.53001,35393.53001,2.803355275,25819.56245,752.4675895,1065.502392,188.4102076
Surin,68,2012,53,1383338,93.07624496,19664.98836,19467.98836,17.29176722,15565.97546,342.2623719,296.2958707,32.0155095
Tak,69,2012,43,528531,35.56157702,14948.34795,14751.34795,37.18619807,11894.7601,185.9267296,226.6095151,34.69077563
Trang,70,2012,60,629314,42.34264079,34066.5677,33869.5677,10.19581308,20808.31581,308.4168201,404.3874385,116.3154305
Trat,71,2012,26,222434,14.966206,25906.82094,25709.82094,17.26812009,16647.44883,153.483481,172.3151827,19.08389722
Ubon Ratchathani,72,2012,75,1821489,122.5567116,21979.48018,21782.48018,12.86242866,15092.84948,416.145809,608.2394671,49.77978382
Udon Thani,73,2012,63,1552703,104.4717667,23594.46173,23397.46173,9.539390093,19541.97744,331.553519,508.4904719,54.81554312
Uthai Thani,74,2012,35,328492,22.10219184,19368.3466,19171.3466,15.96954556,13408.27123,130.4729298,134.9282725,18.44818662
Uttaradit,75,2012,57,461167,31.02907074,19176.75641,18979.75641,17.4156615,13177.77579,148.9100222,209.1031508,19.55190674
Yala,76,2012,17,497290,33.45956365,21630.80764,21433.80764,21.11540016,13504.59074,294.5358095,533.6878636,148.0568626
Yasothon,77,2012,20,539560,36.30365011,16392.2613,16195.2613,23.57242821,12844.04179,108.691725,128.9578189,12.44065682
Amnat Charoen,1,2013,22,374096,25.17060251,18201.87754,18004.87754,18.20934445,15506.90371,81.27413635,89.43833606,8.830141051
